14916641;649;639;735;582;682;530;
14916642;710;609;621;544;670;689;
14916643;486;622;653;666;708;737;
14916644;689;519;518;649;605;491;
14916645;480;509;672;542;528;503;
14916646;579;743;668;603;574;599;
14916647;659;533;497;569;602;732;
14916648;547;613;604;725;568;601;
14916649;475;547;645;519;721;540;
14916650;535;726;614;496;557;667;
14916651;525;661;659;482;513;522;
14916652;606;737;580;668;556;747;
14916653;650;668;649;543;643;507;
14916654;669;683;579;564;727;589;
14916655;669;551;604;532;573;686;
14916656;724;663;636;673;670;674;
14916657;720;565;701;590;522;546;
14916658;586;697;739;485;489;671;
14916659;557;724;604;661;577;580;
14916660;499;495;697;668;592;519;
14916661;603;565;747;488;527;706;
14916662;727;497;520;717;612;567;
14916663;512;487;554;541;497;608;
14916664;737;619;581;630;529;723;
14916665;500;593;743;722;510;584;
14916666;530;678;715;526;731;491;
14916667;481;748;553;566;714;730;
14916668;698;516;743;501;582;529;
14916669;635;608;674;505;528;728;
14916670;478;553;611;510;524;686;
14916671;660;579;614;664;670;634;
14916672;720;676;631;523;531;635;
14916673;502;478;676;494;505;547;
14916674;589;705;720;512;499;497;
14916675;489;502;575;665;578;664;
14916676;601;527;532;504;716;727;
14916677;663;685;692;584;497;748;
14916678;744;565;476;669;624;546;
14916679;505;738;500;750;499;524;
14916680;497;554;592;597;744;735;
14916681;551;594;511;608;623;476;
14916682;585;576;686;526;685;749;
14916683;564;678;563;565;636;712;
14916684;636;666;700;701;665;724;
14916685;750;727;527;631;614;521;
14916686;615;690;680;651;547;593;
14916687;692;697;734;668;513;668;
14916688;666;602;635;478;732;520;
14916689;715;617;475;664;607;705;
14916690;678;646;682;730;527;585;
14916691;540;707;524;510;648;596;
14916692;668;589;583;651;506;621;
14916693;568;697;748;492;740;729;
14916694;577;745;635;577;698;491;
14916695;571;625;662;542;645;478;
14916696;652;750;711;701;509;608;
14916697;587;742;722;735;642;518;
14916698;605;499;504;642;516;494;
14916699;620;618;528;544;484;475;
14916700;560;621;626;511;688;520;
14916701;515;630;559;475;620;634;
14916702;648;496;625;659;480;517;
14916703;702;610;541;496;501;623;
14916704;555;686;490;608;479;540;
14916705;608;604;686;483;641;663;
14916706;568;681;542;653;721;688;
14916707;576;658;709;726;566;715;
14916708;492;558;614;599;579;681;
14916709;747;659;616;526;556;621;
14916710;591;689;750;566;698;680;
14916711;479;555;650;546;497;620;
14916712;523;598;567;482;614;699;
14916713;486;671;506;665;519;650;
14916714;595;555;598;737;607;679;
14916715;647;487;617;686;619;604;
14916716;656;623;725;555;694;747;
14916717;741;507;635;557;514;498;
14916718;505;565;694;576;479;503;
14916719;475;600;583;598;626;479;
14916720;566;562;532;749;537;676;
14916721;602;718;548;576;523;531;
14916722;613;513;563;497;635;642;
14916723;560;666;732;543;491;501;
14916724;571;532;666;720;695;541;
14916725;724;511;668;505;509;730;
14916726;706;676;738;543;542;510;
14916727;640;680;588;728;742;748;
14916728;660;591;703;681;659;720;
14916729;707;480;541;622;725;485;
14916730;728;738;521;645;533;595;
14916731;625;528;521;612;597;628;
14916732;687;486;557;564;503;588;
14916733;561;728;704;514;659;652;
14916734;523;615;657;589;487;671;
14916735;599;740;699;686;675;481;
14916736;570;589;534;656;490;696;
14916737;533;702;747;655;515;500;
14916738;492;641;477;485;720;701;
14916739;663;532;566;609;646;618;
14916740;570;535;647;518;510;571;
14916741;524;605;685;623;551;700;
14916742;569;609;691;565;514;495;
14916743;630;571;662;673;582;671;
14916744;623;494;729;478;628;664;
14916745;621;723;488;518;530;523;
14916746;654;579;694;589;492;534;
14916747;578;586;668;519;716;747;
14916748;579;636;568;490;558;675;
14916749;727;746;734;705;750;611;
14916750;618;660;624;672;703;679;
14916751;484;647;548;743;485;565;
14916752;526;628;716;484;712;721;
14916753;480;541;606;613;596;729;
14916754;537;572;725;520;526;488;
14916755;697;710;673;610;671;666;
14916756;578;680;562;651;673;612;
14916757;505;488;489;510;497;727;
14916758;521;543;557;652;681;678;
14916759;631;508;500;645;593;591;
14916760;658;539;590;620;714;510;
14916761;535;542;480;622;482;678;
14916762;523;553;731;538;628;478;
14916763;554;674;546;636;576;516;
14916764;563;496;549;628;706;668;
14916765;745;613;496;624;522;736;
14916766;660;583;567;705;494;574;
14916767;632;543;692;652;646;570;
14916768;655;725;493;490;610;634;
14916769;532;738;695;646;616;650;
